from_name	to_name	from_affiliation	to_affiliation	to_entity_type	SUM(transaction_amt)
AMERICA'S NEXT GENERATION LLC D/B/A THE NEXT GENERATION	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	2629684
AMERICAN CROSSROADS	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	91115431
AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES  P E O P L E	OBAMA, BARACK	UNK	DEM	CAN	1000321
AMERICAN FEDERATION OF STATE COUNTY AND MUNICIPAL EMPLOYEES AFL-CIO	OBAMA, BARACK	UNK	DEM	CAN	1500473
AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION	MAJORITY PAC	UNK	UNK	COM	2000000
AMERICAN FEDERATION OF TEACHERS, AFL-CIO COMMITTEE ON POLITICAL EDUCATION	PRIORITIES USA ACTION	UNK	UNK	COM	1500000
AMERICAN FUTURE FUND	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	19916926
AMERICANS FOR JOB SECURITY	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	15223064
AMERICANS FOR PROSPERITY	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	33542051
AMERICANS FOR RESPONSIBLE LEADERSHIP	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	8799450
CONSERVATIVE CAMPAIGN COMMITTEE	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	1334200
CONSERVATIVE MAJORITY FUND	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	3024846
CROSSROADS GRASSROOTS POLICY STRATEGIES	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	22146280
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE	OBAMA, BARACK	DEM	DEM	CAN	20929764
ENDING SPENDING ACTION FUND	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	9660655
ENDORSE LIBERTY, INC	PAUL, RON	UNK	REP	CAN	3382319
ENVIRONMENT AMERICA ACTION FUND	FAIR SHARE ACTION	UNK	UNK	COM	1800000
FAIR SHARE ACTION	OBAMA, BARACK	UNK	DEM	CAN	2270279
FLORIDA FREEDOM PAC	OBAMA, BARACK	UNK	DEM	CAN	2723829
FOCUS ON THE FAMILY ACTION	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	1535077
FRIENDS OF JOHN BOEHNER	NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	REP	REP	COM	7008011
FRIENDS OF SCHUMER	DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE	DEM	DEM	COM	1000000
HELLER FOR CONGRESS	HELLER FOR SENATE	REP	REP	COM	1114126
HOYER FOR CONGRESS	DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE	DEM	DEM	COM	1070000
INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES POLITICAL ACTION TOGETHER POLITICAL COMM	PRIORITIES USA ACTION	UNK	UNK	COM	1000000
KEVIN MCCARTHY FOR CONGRESS	NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE	REP	REP	COM	1426105
LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC	MAJORITY PAC	UNK	UNK	COM	950000
LCV VICTORY FUND	OBAMA, BARACK	UNK	DEM	CAN	1103150
LEAGUE OF CONSERVATION VOTERS INC	OBAMA, BARACK	UNK	DEM	CAN	959015
LOCAL VOICES	OBAMA, BARACK	UNK	DEM	CAN	1268166
MAKE US GREAT AGAIN, INC	PERRY, JAMES R (RICK)	UNK	REP	CAN	3959824
NANCY PELOSI FOR CONGRESS	DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE	DEM	DEM	COM	970255
NARAL Pro-Choice America	OBAMA, BARACK	UNK	DEM	CAN	936533
NATIONAL AIR TRAFFIC CONTROLLERS ASSOCIATION PAC	PRIORITIES USA ACTION	UNK	UNK	COM	1250000
NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	3166439
NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	14093964
NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	1166650
OUR DESTINY PAC	HUNTSMAN, JON	UNK	REP	CAN	2804234
PLANNED PARENTHOOD ACTION FUND INC	OBAMA, BARACK	UNK	DEM	CAN	5807172
PLANNED PARENTHOOD VOTES	OBAMA, BARACK	UNK	DEM	CAN	3516352
PRIORITIES USA ACTION	OBAMA, BARACK	UNK	DEM	CAN	65205743
RED WHITE AND BLUE FUND	SANTORUM, RICHARD J.	UNK	REP	CAN	6739158
REPUBLICAN JEWISH COALITION	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	4571439
REPUBLICAN JEWISH COALITION VICTORY FUND	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	1761190
REPUBLICAN MAJORITY CAMPAIGN	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	2358142
REPUBLICAN NATIONAL COMMITTEE	ROMNEY, MITT / RYAN, PAUL D. 	REP	REP	CAN	65162282
REPUBLICAN UNION PAC	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	950000
RESTORE AMERICA'S VOICE PAC	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	1797419
RESTORE OUR FUTURE, INC.	GINGRICH, NEWT	UNK	REP	CAN	18730747
RESTORE OUR FUTURE, INC.	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	102492252
RESTORE OUR FUTURE, INC.	SANTORUM, RICHARD J.	UNK	REP	CAN	20874337
RIGHTCHANGE.COM INC (527 POLITICAL ORG)	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	1500000
ROGER WILLIAMS FOR US SENATE COMMITTEE	ROGER WILLIAMS FOR U S CONGRESS COMMITTEE	UNK	REP	COM	1095529
RYAN FOR CONGRESS	REPUBLICAN NATIONAL COMMITTEE	REP	REP	COM	1000000
SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)	OBAMA, BARACK	UNK	DEM	CAN	5226130
SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION)	PRIORITIES USA ACTION	UNK	UNK	COM	1000000
SERVICE EMPLOYEES INTERNATIONAL UNION PEA-FEDERAL	FLORIDA FREEDOM PAC	UNK	UNK	COM	3827409
SERVICE EMPLOYEES INTERNATIONAL UNION PEA-FEDERAL	OBAMA, BARACK	UNK	DEM	CAN	8219721
SUPER PAC FOR AMERICA	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	1142083
THE 60 PLUS ASSOCIATION	ROMNEY, MITT / RYAN, PAUL D. 	UNK	REP	CAN	2907701
UAW EDUCATION FUND	PRIORITIES USA ACTION	UNK	UNK	COM	1000000
WINNING OUR FUTURE	GINGRICH, NEWT	UNK	REP	CAN	12970099
WINNING OUR FUTURE	OBAMA, BARACK	UNK	DEM	CAN	4031934
WORKERS' VOICE	OBAMA, BARACK	UNK	DEM	CAN	2838298
WORKING FOR WORKING AMERICANS - FEDERAL	HOUSE MAJORITY PAC	UNK	UNK	COM	1000000
WORKING FOR WORKING AMERICANS - FEDERAL	MAJORITY PAC	UNK	UNK	COM	2250000
